iter	Passed	Remaining
462	781	906
463	783	904
464	784	903
465	786	901
466	788	899
467	789	897
468	791	895
469	792	893
470	794	891
471	795	890
472	797	888
473	799	887
474	800	885
475	802	883
476	803	881
477	805	879
478	807	877
479	808	876
480	810	874
481	811	872
482	813	870
483	814	868
484	816	866
485	817	864
486	819	862
487	820	861
488	822	859
489	823	857
490	825	855
491	827	854
492	828	852
493	830	850
494	832	848
495	833	846
496	834	844
497	836	843
498	837	841
499	839	839
500	840	837
501	842	835
502	843	833
503	845	831
504	846	830
505	848	828
506	849	826
507	851	824
508	853	822
509	854	821
510	855	819
511	857	817
512	858	815
513	860	813
514	862	811
515	863	810
516	865	808
517	866	806
518	868	804
519	869	802
520	871	801
521	873	799
522	874	797
523	876	796
524	877	794
525	879	792
526	881	790
527	882	789
528	884	787
529	885	785
530	887	783
531	888	781
532	889	779
533	891	777
534	892	776
535	894	774
536	895	772
537	897	770
538	898	768
539	899	766
540	901	764
541	903	763
542	904	761
543	906	759
544	907	757
545	909	756
546	910	754
547	912	752
548	913	750
549	915	748
550	916	746
551	918	745
552	919	743
553	921	741
554	923	740
555	924	738
556	926	736
557	927	734
558	929	733
559	930	731
560	932	729
561	933	727
562	935	725
563	936	724
564	938	722
565	939	720
566	940	718
567	942	716
568	943	714
569	945	713
570	946	711
571	948	709
572	950	708
573	951	706
574	953	704
575	954	702
576	956	701
577	957	699
578	959	697
579	961	695
580	962	694
581	964	692
582	965	690
583	967	688
584	968	687
585	970	685
586	971	683
587	973	682
588	974	680
589	976	678
590	977	676
591	979	674
592	980	673
593	982	671
594	983	669
595	985	667
596	987	666
597	988	664
598	989	662
599	991	660
600	992	659
601	994	657
602	995	655
603	997	653
604	998	652
605	1000	650
606	1001	648
607	1003	646
608	1005	645
609	1006	643
610	1008	641
611	1009	640
612	1011	638
613	1013	636
614	1014	635
615	1016	633
616	1017	631
617	1019	629
618	1020	628
619	1022	626
620	1024	624
621	1025	623
622	1027	621
623	1028	619
624	1030	618
625	1031	616
626	1033	614
627	1034	613
628	1036	611
629	1038	609
630	1039	607
631	1041	606
632	1042	604
633	1044	602
634	1045	601
635	1047	599
636	1048	597
637	1050	595
638	1051	594
639	1053	592
640	1054	590
641	1056	589
642	1058	587
643	1059	585
644	1061	584
645	1063	582
646	1064	580
647	1066	579
648	1068	577
649	1069	576
650	1071	574
651	1072	572
652	1074	570
653	1075	568
654	1076	567
655	1078	565
656	1079	563
657	1081	562
658	1082	560
659	1084	558
660	1085	556
661	1087	555
662	1088	553
663	1089	551
664	1091	549
665	1092	548
666	1094	546
667	1095	544
668	1097	542
669	1098	541
670	1100	539
671	1101	537
672	1103	535
673	1104	534
674	1106	532
675	1107	530
676	1108	529
677	1110	527
678	1111	525
679	1113	523
680	1114	522
681	1115	520
682	1117	518
683	1118	516
684	1120	515
685	1121	513
686	1123	511
687	1125	510
688	1126	508
689	1127	506
690	1129	505
691	1130	503
692	1132	501
693	1133	499
694	1135	498
695	1136	496
696	1138	494
697	1140	493
698	1141	491
699	1143	489
700	1144	488
701	1146	486
702	1147	484
703	1149	483
704	1150	481
705	1152	479
706	1153	478
707	1155	476
708	1156	474
709	1158	473
710	1159	471
711	1160	469
712	1162	467
713	1163	466
714	1165	464
715	1166	462
716	1168	461
717	1169	459
718	1171	457
719	1172	455
720	1173	454
721	1175	452
722	1177	451
723	1178	449
724	1180	447
725	1182	446
726	1183	444
727	1185	442
728	1187	441
729	1188	439
730	1190	438
731	1192	436
732	1193	434
733	1195	433
734	1196	431
735	1198	429
736	1199	428
737	1200	426
738	1202	424
739	1204	423
740	1205	421
741	1207	419
742	1208	418
743	1210	416
744	1211	414
745	1213	413
746	1214	411
747	1216	409
748	1217	408
749	1219	406
750	1220	404
751	1222	403
752	1223	401
753	1225	399
754	1226	398
755	1228	396
756	1229	394
757	1231	393
758	1232	391
759	1234	389
760	1236	388
761	1237	386
762	1239	384
763	1240	383
764	1241	381
765	1243	379
766	1244	378
767	1246	376
768	1247	374
769	1249	373
770	1250	371
771	1252	369
772	1253	368
773	1255	366
774	1256	364
775	1258	363
776	1259	361
777	1261	359
778	1262	358
779	1264	356
780	1265	354
781	1266	353
782	1268	351
783	1269	349
784	1271	348
785	1272	346
786	1274	344
787	1275	343
788	1277	341
789	1278	339
790	1280	338
791	1281	336
792	1283	334
793	1284	333
794	1286	331
795	1287	329
796	1289	328
797	1290	326
798	1292	325
799	1293	323
800	1295	321
801	1296	320
802	1298	318
803	1299	316
804	1301	315
805	1302	313
806	1304	311
807	1305	310
808	1307	308
809	1308	306
810	1310	305
811	1311	303
812	1313	302
813	1314	300
814	1316	298
815	1317	297
816	1319	295
817	1320	293
818	1322	292
819	1323	290
820	1325	288
821	1326	287
822	1328	285
823	1329	284
824	1331	282
825	1333	280
826	1334	279
827	1336	277
828	1337	275
829	1339	274
830	1340	272
831	1342	271
832	1343	269
833	1345	267
834	1346	266
835	1347	264
836	1349	262
837	1350	261
838	1352	259
839	1354	257
840	1355	256
841	1357	254
842	1358	253
843	1360	251
844	1362	249
845	1363	248
846	1365	246
847	1366	244
848	1368	243
849	1369	241
850	1371	240
851	1372	238
852	1374	236
853	1376	235
854	1377	233
855	1379	232
856	1380	230
857	1382	228
858	1384	227
859	1385	225
860	1387	223
861	1388	222
862	1390	220
863	1392	219
864	1393	217
865	1395	215
866	1396	214
867	1398	212
868	1400	211
869	1401	209
870	1403	207
871	1405	206
872	1406	204
873	1408	203
874	1410	201
875	1412	199
876	1413	198
877	1415	196
878	1416	195
879	1418	193
880	1419	191
881	1421	190
882	1422	188
883	1424	186
884	1425	185
885	1427	183
886	1429	182
887	1430	180
888	1432	178
889	1433	177
890	1435	175
891	1436	173
892	1438	172
893	1439	170
894	1441	169
895	1443	167
896	1444	165
897	1446	164
898	1447	162
899	1449	161
900	1450	159
901	1452	157
902	1453	156
903	1455	154
904	1456	152
905	1458	151
906	1460	149
907	1461	148
908	1463	146
909	1464	144
910	1466	143
911	1468	141
912	1469	140
913	1471	138
914	1472	136
915	1473	135
916	1475	133
917	1476	131
918	1478	130
919	1479	128
920	1481	127
921	1482	125
922	1484	123
923	1485	122
924	1487	120
925	1488	118
926	1490	117
927	1491	115
928	1493	114
929	1495	112
930	1496	110
931	1497	109
932	1499	107
933	1500	106
934	1502	104
935	1503	102
936	1505	101
937	1506	99
938	1508	97
939	1509	96
940	1511	94
941	1512	93
942	1513	91
943	1515	89
944	1516	88
945	1518	86
946	1519	85
947	1520	83
948	1522	81
949	1524	80
950	1525	78
951	1526	76
952	1528	75
953	1530	73
954	1531	72
955	1533	70
956	1534	68
957	1536	67
958	1537	65
959	1538	64
960	1540	62
961	1541	60
962	1543	59
963	1544	57
964	1546	56
965	1547	54
966	1549	52
967	1550	51
968	1552	49
969	1553	48
970	1555	46
971	1556	44
972	1558	43
973	1559	41
974	1561	40
975	1562	38
976	1564	36
977	1565	35
978	1566	33
979	1568	32
980	1569	30
981	1571	28
982	1572	27
983	1574	25
984	1575	23
985	1577	22
986	1578	20
987	1579	19
988	1581	17
989	1583	15
990	1584	14
991	1586	12
992	1587	11
993	1589	9
994	1590	7
995	1592	6
996	1593	4
997	1595	3
998	1596	1
999	1598	0
